,months,kandla,mumbai,chennai,kochi,vishakhapatnam,paradip
164,1992-09-15 21:00:00,100717.56579366502,100804.49883241078,100689.2774124773,100998.33213752996,100595.55997789282,100523.66167021768
165,1992-10-16 09:00:00,101068.7786694776,101024.94212434003,100894.84885549075,101047.49068002953,100894.76741441336,100912.32681888324
166,1992-11-15 21:00:00,101418.83720654098,101179.14903393139,101131.32541691783,101019.85028654456,101268.45448667085,101382.1780989635
167,1992-12-16 09:00:00,101658.76616146637,101475.98405645821,101534.97218290785,101258.96128977957,101636.39111068088,101671.45326495811
168,1993-01-16 09:00:00,101670.46534928013,101469.2138242851,101462.99243415531,101257.5980369623,101488.84466485397,101508.42239167672
169,1993-02-14 21:00:00,101504.72213402981,101359.20463330498,101341.96745222827,101229.51856984268,101369.04838092069,101355.61768498315
170,1993-03-16 09:00:00,101311.24646146789,101240.7361930249,101178.09384084164,101164.48609908368,101192.60097536739,101155.03893410572
171,1993-04-15 21:00:00,101060.60977532312,101040.76293885334,100969.31078664566,101022.44931918842,100946.31607548869,100880.33109821579
172,1993-05-16 09:00:00,100622.47802443046,100785.63637070254,100579.65772230213,100867.49527623487,100502.38076260244,100435.77612495804
173,1993-06-15 21:00:00,100212.53196814965,100440.53511661109,100435.97087536051,100890.55726480362,100248.91134333085,100104.94830490937
174,1993-07-16 09:00:00,100064.6455943475,100394.34032114546,100421.2689904323,100951.69472751324,100176.99887199007,100036.50239073255
175,1993-08-16 09:00:00,100372.56722614943,100687.96373248973,100640.90849433684,101112.04512707339,100387.76483937481,100187.8128307017
176,1993-09-15 21:00:00,100664.51932494888,100788.99315945784,100723.48266498369,101062.20318770697,100592.27754838212,100528.17633863856
177,1993-10-16 09:00:00,101120.40877163035,101077.71948340912,100976.82815218097,101077.15293678376,101035.32763216624,101088.40951004648
178,1993-11-15 21:00:00,101304.64973419881,101186.93905003014,101145.04646800086,100987.4367377409,101265.56155796506,101309.81593123885
179,1993-12-16 09:00:00,101552.00753174927,101360.23858089626,101351.8678545065,101145.70507845285,101498.39097549136,101553.82402186687
180,1994-01-16 09:00:00,101510.29907737323,101301.67182349923,101318.74258150473,101114.44940931478,101394.00830068439,101419.98092254094
181,1994-02-14 21:00:00,101369.27145865443,101224.77728277165,101174.85036141143,101058.77912153992,101233.13738641219,101271.38990637352
182,1994-03-16 09:00:00,101232.82224485182,101098.58964472098,101098.71003587887,101078.25062087041,101082.66614363185,101015.66492334969
183,1994-04-15 21:00:00,100965.82652489968,100972.86940763623,100875.83767529337,100953.30230356273,100861.17119952926,100797.38159042964
184,1994-05-16 09:00:00,100694.18866353593,100811.62669714115,100534.22776478072,100896.948618921,100477.4527110864,100434.89443677232
185,1994-06-15 21:00:00,99926.85437322609,100200.41141128325,100261.92067021577,100769.03301366296,100039.78836115965,99871.69397741405
186,1994-07-16 09:00:00,99922.48134146156,100330.63215312324,100424.16191913807,100933.32091226938,100077.86029438414,99832.90323815864
187,1994-08-16 09:00:00,100217.94602933827,100557.42430817298,100559.86754049486,101015.35686362215,100268.73693430219,100070.64036582716
188,1994-09-15 21:00:00,100729.74654611037,100892.39854133605,100803.11079317864,101129.08047591482,100643.88640503639,100531.32067240933
189,1994-10-16 09:00:00,101183.26003788169,101072.2700130564,101008.96196858835,101080.90276726038,101079.04378614592,101126.19462904186
190,1994-11-15 21:00:00,101461.74603157952,101295.758493097,101265.23933457189,101092.27973168099,101399.5356711981,101463.45983512126
191,1994-12-16 09:00:00,101719.77261026888,101513.66294796133,101511.74023035151,101255.13001822555,101590.02281031123,101609.41286856432
192,1995-01-16 09:00:00,101707.85742655417,101475.01030444585,101465.21967057628,101241.79492703103,101571.1992986835,101645.75329366504
193,1995-02-14 21:00:00,101413.58956842354,101292.4371135058,101297.56081954893,101152.02915515847,101327.26910821648,101332.3078322658
194,1995-03-16 09:00:00,101304.29918347436,101192.05213332406,101142.51825368518,101083.74258222003,101146.64696221752,101100.56193516054
195,1995-04-15 21:00:00,101015.57640043949,100953.27043531503,100915.39325249303,100928.42028396,100902.02983396724,100782.69386916707
196,1995-05-16 09:00:00,100574.8279123209,100675.12082867602,100494.26144127769,100795.23225416965,100418.33002981322,100336.10995080724
197,1995-06-15 21:00:00,100182.2004781942,100416.50999877925,100279.14368762684,100782.38935035592,100084.25164850152,100015.72783416371
198,1995-07-16 09:00:00,99882.01928966132,100252.06984076725,100360.0146774812,100783.47641169335,100142.94941980568,100002.82119385462
199,1995-08-16 09:00:00,100302.94926864139,100578.66626570774,100481.98154317291,100910.96710698237,100267.40909064899,100164.99162444877
200,1995-09-15 21:00:00,100702.6868629164,100801.09247082577,100627.55215764386,101019.72989538667,100477.38543367464,100448.10913680894
