,months,kandla,mumbai,chennai,kochi,vishakhapatnam,paradip
232,16-05-1998 09:00,7.174253,7.541194,6.7958755,8.741034,8.277883,8.374406
233,15-06-1998 21:00,8.59794,8.849248,6.6449485,8.3214655,7.6055503,8.130518
234,16-07-1998 09:00,8.905492,9.063272,7.287365,8.94372,7.903243,8.030929
235,16-08-1998 09:00,8.248571,8.557127,6.9681563,8.743507,7.8924165,8.494221
236,15-09-1998 21:00,7.9689713,8.184524,7.5777006,8.316444,8.329181,9.108353
237,16-10-1998 09:00,7.6132116,7.494754,7.7711716,8.074135,8.256447,9.195554
238,15-11-1998 21:00,7.8255014,8.067958,6.701934,8.0807295,7.5282187,8.75439
239,16-12-1998 09:00,7.043545,6.86967,5.9393277,8.128894,6.7667937,8.348108
240,16-01-1999 10:30,6.5268455,6.114188,6.368253,7.7145243,7.0976725,7.994157
241,14-02-1999 22:30,6.5994043,6.8420463,6.434667,8.021596,7.639379,8.821651
242,16-03-1999 10:30,6.987265,6.7555633,7.087718,8.350367,7.948161,8.26221
243,15-04-1999 22:30,7.0994363,7.4872484,6.6024084,7.2303286,7.579934,7.4289474
244,16-05-1999 10:30,7.510707,8.111029,6.5815506,8.0303,7.6187544,8.062347
245,15-06-1999 22:30,8.371399,8.473474,6.3934045,8.423858,7.506906,8.337908
246,16-07-1999 10:30,9.169838,8.986417,6.577543,9.008097,7.6742415,8.446047
247,16-08-1999 10:30,8.105243,8.220018,6.9706697,8.696569,7.8152037,8.623449
248,15-09-1999 22:30,7.5515127,7.579154,6.8277893,8.656813,7.7658997,8.469417
249,16-10-1999 10:30,8.226561,8.273545,7.3589487,7.976326,8.706497,9.425685
250,15-11-1999 22:30,7.8561196,7.4427605,5.6182156,8.684801,6.6616006,9.092897
251,16-12-1999 10:30,7.431553,7.6812353,6.1283054,8.63092,6.9818697,9.578674
252,16-01-2000 10:30,6.267598,6.2029376,5.9489355,7.549388,6.898101,7.898398
253,15-02-2000 10:30,6.5020876,6.5429254,7.162913,7.948226,8.28908,8.851108
254,16-03-2000 10:30,7.042159,7.3529496,8.204165,8.377923,8.739706,8.684642
255,15-04-2000 22:30,6.725051,7.312227,6.7810297,7.8966246,7.205449,7.2660584
256,16-05-2000 10:30,7.503,7.9148383,6.8334503,8.2877865,7.6376815,8.115412
257,15-06-2000 22:30,8.5496235,8.852447,6.3870573,8.2747345,7.77675,8.387483
258,16-07-2000 10:30,8.506941,8.480198,6.763846,8.601186,7.59478,8.346268
259,16-08-2000 10:30,8.373713,8.436005,6.7149115,8.523476,7.6674857,8.477575
260,15-09-2000 22:30,8.378361,8.782762,7.4150596,8.752853,8.4566965,8.958227
261,16-10-2000 10:30,8.059458,8.473682,7.741107,8.291582,9.05623,9.717634
